"","age","year","D","L"
"1",50,1999,9775,1847555
"2",51,1999,10470,1762492
"3",52,1999,11509,1900702
"4",53,1999,9885,1355175
"5",54,1999,10717,1413117
"6",55,1999,11728,1390616
"7",56,1999,12919,1423773
"8",57,1999,12509,1234061
"9",58,1999,12865,1160403
"10",59,1999,13420,1110934
"11",60,1999,14016,1107631
"12",61,1999,14881,1040279
"13",62,1999,15506,986960
"14",63,1999,16626,971465
"15",64,1999,18254,973141
"16",65,1999,18538,895420
"17",66,1999,19743,877447
"18",67,1999,21115,880924
"19",68,1999,23073,879176
"20",69,1999,25060,866543
"21",70,1999,25849,835920
"22",71,1999,28204,817115
"23",72,1999,29893,766712
"24",73,1999,31073,745037
"25",74,1999,32372,729191
"26",75,1999,33584,690588
"27",76,1999,33944,639518
"28",77,1999,35701,616768
"29",78,1999,36020,569315
"30",79,1999,35604,495196
"31",80,1999,33930,459536
"32",81,1999,34429,394017
"33",82,1999,33404,361782
"34",83,1999,32623,311593
"35",84,1999,31731,275403
"36",50,2000,10256,1871638
"37",51,2000,10614,1769463
"38",52,2000,11488,1815785
"39",53,2000,12364,1778423
"40",54,2000,10555,1372415
"41",55,2000,11498,1386859
"42",56,2000,12334,1375187
"43",57,2000,13597,1384196
"44",58,2000,13356,1222709
"45",59,2000,13640,1139778
"46",60,2000,14152,1111560
"47",61,2000,14657,1061679
"48",62,2000,15832,1033865
"49",63,2000,16511,971203
"50",64,2000,17744,958320
"51",65,2000,18614,950651
"52",66,2000,18960,864156
"53",67,2000,20658,874079
"54",68,2000,22082,856145
"55",69,2000,23621,855331
"56",70,2000,25690,844517
"57",71,2000,27007,798517
"58",72,2000,29167,791164
"59",73,2000,30297,751433
"60",74,2000,31312,717281
"61",75,2000,32971,695865
"62",76,2000,33727,647773
"63",77,2000,34530,599742
"64",78,2000,35746,579368
"65",79,2000,36353,521708
"66",80,2000,35604,467013
"67",81,2000,33516,406546
"68",82,2000,34053,364815
"69",83,2000,32350,317289
"70",84,2000,31369,279234
"71",50,2001,10480,1858963
"72",51,2001,11034,1862989
"73",52,2001,11402,1786849
"74",53,2001,12073,1775276
"75",54,2001,13292,1862076
"76",55,2001,11552,1386854
"77",56,2001,12151,1383009
"78",57,2001,13207,1357485
"79",58,2001,14710,1399744
"80",59,2001,14181,1232487
"81",60,2001,14542,1138884
"82",61,2001,14909,1110151
"83",62,2001,15801,1056502
"84",63,2001,16672,1030410
"85",64,2001,17233,966203
"86",65,2001,18366,943626
"87",66,2001,19340,938399
"88",67,2001,19994,857420
"89",68,2001,21299,851383
"90",69,2001,23111,836787
"91",70,2001,24481,822982
"92",71,2001,26412,826369
"93",72,2001,27749,774723
"94",73,2001,29964,760633
"95",74,2001,30865,728731
"96",75,2001,32102,685103
"97",76,2001,33744,663891
"98",77,2001,34456,618080
"99",78,2001,34717,572230
"100",79,2001,36292,537950
"101",80,2001,35983,491840
"102",81,2001,35451,439939
"103",82,2001,33552,370580
"104",83,2001,33171,338416
"105",84,2001,31274,285856
"106",50,2002,11001,1902885
"107",51,2002,11388,1857726
"108",52,2002,11933,1854284
"109",53,2002,12493,1782978
"110",54,2002,13206,1770221
"111",55,2002,14490,1847760
"112",56,2002,12511,1382872
"113",57,2002,12923,1374045
"114",58,2002,14163,1348687
"115",59,2002,15743,1387713
"116",60,2002,15373,1217335
"117",61,2002,15326,1131638
"118",62,2002,16305,1098596
"119",63,2002,16861,1045297
"120",64,2002,17668,1015731
"121",65,2002,18106,952282
"122",66,2002,18993,928349
"123",67,2002,20463,922458
"124",68,2002,20769,840036
"125",69,2002,22259,831542
"126",70,2002,24091,813765
"127",71,2002,25839,802655
"128",72,2002,27160,800131
"129",73,2002,28794,749112
"130",74,2002,30547,731547
"131",75,2002,31852,696076
"132",76,2002,32924,655316
"133",77,2002,34317,629601
"134",78,2002,35008,583772
"135",79,2002,35524,537004
"136",80,2002,36436,499953
"137",81,2002,36568,455626
"138",82,2002,35263,402497
"139",83,2002,32963,337181
"140",84,2002,32649,303734
"141",50,2003,11372,1957066
"142",51,2003,11826,1903885
"143",52,2003,12166,1846875
"144",53,2003,12578,1851585
"145",54,2003,13601,1778213
"146",55,2003,14307,1753341
"147",56,2003,15540,1844529
"148",57,2003,13169,1372827
"149",58,2003,13913,1365498
"150",59,2003,15259,1336406
"151",60,2003,16717,1368194
"152",61,2003,16369,1212101
"153",62,2003,16600,1119523
"154",63,2003,16901,1087611
"155",64,2003,17686,1029496
"156",65,2003,18427,1001903
"157",66,2003,18805,937277
"158",67,2003,20079,913146
"159",68,2003,21144,904419
"160",69,2003,21860,820345
"161",70,2003,23025,808170
"162",71,2003,24264,795334
"163",72,2003,26525,776914
"164",73,2003,28299,774554
"165",74,2003,28993,720651
"166",75,2003,31567,698219
"167",76,2003,32623,667787
"168",77,2003,33162,621701
"169",78,2003,34557,595667
"170",79,2003,35445,548486
"171",80,2003,35528,499405
"172",81,2003,36401,464268
"173",82,2003,35917,417522
"174",83,2003,34900,367149
"175",84,2003,32232,303077
"176",50,2004,11468,2018146
"177",51,2004,12031,1961738
"178",52,2004,12644,1891504
"179",53,2004,13101,1845760
"180",54,2004,13405,1847897
"181",55,2004,14012,1758586
"182",56,2004,14806,1753133
"183",57,2004,16282,1830349
"184",58,2004,13859,1364399
"185",59,2004,14441,1352760
"186",60,2004,15745,1315754
"187",61,2004,17418,1365695
"188",62,2004,16972,1199144
"189",63,2004,17039,1108921
"190",64,2004,17458,1070816
"191",65,2004,18136,1015816
"192",66,2004,18932,986009
"193",67,2004,19426,922625
"194",68,2004,20402,895181
"195",69,2004,21559,883380
"196",70,2004,21909,796318
"197",71,2004,23279,791222
"198",72,2004,24605,769205
"199",73,2004,26518,752487
"200",74,2004,28125,744927
"201",75,2004,29456,686874
"202",76,2004,31094,671287
"203",77,2004,32307,633496
"204",78,2004,33271,588554
"205",79,2004,34180,559869
"206",80,2004,34934,509590
"207",81,2004,34504,464757
"208",82,2004,35518,425169
"209",83,2004,35135,381825
"210",84,2004,33270,329740
"211",50,2005,11933,2113557
"212",51,2005,12349,2026203
"213",52,2005,13341,1947260
"214",53,2005,13598,1891790
"215",54,2005,13972,1842482
"216",55,2005,14622,1824610
"217",56,2005,14965,1761297
"218",57,2005,16057,1739222
"219",58,2005,17318,1819296
"220",59,2005,15026,1350936
"221",60,2005,15690,1330174
"222",61,2005,16640,1316923
"223",62,2005,18863,1351274
"224",63,2005,18144,1188493
"225",64,2005,18104,1090862
"226",65,2005,18307,1057487
"227",66,2005,18813,1000448
"228",67,2005,19971,971691
"229",68,2005,20150,904790
"230",69,2005,21171,874711
"231",70,2005,22745,857454
"232",71,2005,23027,781306
"233",72,2005,24506,765167
"234",73,2005,26520,746001
"235",74,2005,27597,724073
"236",75,2005,29290,709619
"237",76,2005,29912,662437
"238",77,2005,32418,637311
"239",78,2005,33317,600987
"240",79,2005,34177,553999
"241",80,2005,35000,520539
"242",81,2005,35559,475653
"243",82,2005,35276,426417
"244",83,2005,35549,390040
"245",84,2005,34737,343965
"246",50,2006,11991,2089893
"247",51,2006,12611,2125890
"248",52,2006,13362,2010094
"249",53,2006,13901,1949539
"250",54,2006,14289,1889337
"251",55,2006,14662,1816409
"252",56,2006,15155,1830564
"253",57,2006,15926,1746603
"254",58,2006,17295,1728992
"255",59,2006,18335,1801227
"256",60,2006,15732,1326336
"257",61,2006,16062,1335279
"258",62,2006,17719,1303566
"259",63,2006,19467,1340312
"260",64,2006,18634,1168771
"261",65,2006,18502,1077812
"262",66,2006,18994,1042044
"263",67,2006,19825,986584
"264",68,2006,20328,953381
"265",69,2006,21072,884178
"266",70,2006,21828,848416
"267",71,2006,23053,843344
"268",72,2006,23260,755357
"269",73,2006,24888,743108
"270",74,2006,26415,718165
"271",75,2006,27997,689385
"272",76,2006,30129,686620
"273",77,2006,30619,629385
"274",78,2006,32192,605767
"275",79,2006,33290,566741
"276",80,2006,34018,515325
"277",81,2006,35082,487526
"278",82,2006,35188,436936
"279",83,2006,34416,392892
"280",84,2006,34384,351889
"281",50,2007,11935,2170086
"282",51,2007,12752,2105021
"283",52,2007,13327,2107225
"284",53,2007,14169,2014300
"285",54,2007,14369,1947797
"286",55,2007,15224,1859281
"287",56,2007,15509,1824531
"288",57,2007,16272,1814344
"289",58,2007,16828,1736443
"290",59,2007,17757,1710700
"291",60,2007,19256,1766043
"292",61,2007,16407,1334516
"293",62,2007,17045,1322109
"294",63,2007,18821,1294016
"295",64,2007,20499,1317780
"296",65,2007,19641,1155119
"297",66,2007,19431,1061969
"298",67,2007,19643,1028624
"299",68,2007,20371,968187
"300",69,2007,21406,931531
"301",70,2007,21522,856729
"302",71,2007,22715,836079
"303",72,2007,23861,815065
"304",73,2007,24272,734155
"305",74,2007,25482,715467
"306",75,2007,27202,683039
"307",76,2007,28631,668782
"308",77,2007,30303,652493
"309",78,2007,30986,599072
"310",79,2007,32547,571753
"311",80,2007,33696,527247
"312",81,2007,34094,483736
"313",82,2007,34585,448157
"314",83,2007,34565,403576
"315",84,2007,34194,355093
"316",50,2008,12002,2197224
"317",51,2008,12824,2189639
"318",52,2008,13410,2084700
"319",53,2008,14275,2113819
"320",54,2008,15188,2013539
"321",55,2008,15744,1913592
"322",56,2008,16153,1870156
"323",57,2008,16467,1807079
"324",58,2008,17178,1804202
"325",59,2008,17881,1717301
"326",60,2008,19413,1674280
"327",61,2008,20713,1783203
"328",62,2008,17533,1321417
"329",63,2008,18325,1313243
"330",64,2008,20143,1270827
"331",65,2008,21669,1303557
"332",66,2008,20637,1138633
"333",67,2008,20474,1048799
"334",68,2008,20834,1009620
"335",69,2008,21789,945830
"336",70,2008,22443,901774
"337",71,2008,22728,845857
"338",72,2008,24071,807647
"339",73,2008,25415,792997
"340",74,2008,25340,706721
"341",75,2008,26863,679687
"342",76,2008,28136,664284
"343",77,2008,29974,635582
"344",78,2008,31645,621852
"345",79,2008,32586,565841
"346",80,2008,33676,531699
"347",81,2008,34313,496116
"348",82,2008,34390,444700
"349",83,2008,35216,415006
"350",84,2008,35097,364892
"351",50,2009,11836,2190333
"352",51,2009,12958,2220328
"353",52,2009,13919,2166314
"354",53,2009,14524,2092799
"355",54,2009,15210,2113789
"356",55,2009,15829,1974783
"357",56,2009,16479,1927719
"358",57,2009,17257,1851260
"359",58,2009,17456,1797118
"360",59,2009,18186,1783506
"361",60,2009,19085,1677738
"362",61,2009,20021,1694484
"363",62,2009,21950,1767422
"364",63,2009,18726,1313400
"365",64,2009,19153,1288629
"366",65,2009,20756,1257340
"367",66,2009,22547,1285834
"368",67,2009,21251,1125678
"369",68,2009,21279,1029534
"370",69,2009,21365,986113
"371",70,2009,22148,914700
"372",71,2009,23014,892048
"373",72,2009,23374,816692
"374",73,2009,24485,786497
"375",74,2009,25575,763506
"376",75,2009,25537,670445
"377",76,2009,26950,662929
"378",77,2009,28631,631391
"379",78,2009,30816,606615
"380",79,2009,31299,587904
"381",80,2009,32151,526176
"382",81,2009,33375,501564
"383",82,2009,34150,456484
"384",83,2009,33854,412912
"385",84,2009,34269,375715
"386",50,2010,11736,2300354
"387",51,2010,12372,2190766
"388",52,2010,13516,2207246
"389",53,2010,14468,2141354
"390",54,2010,14980,2093554
"391",55,2010,15999,2073473
"392",56,2010,16702,1956141
"393",57,2010,17421,1905355
"394",58,2010,18022,1834808
"395",59,2010,18631,1753871
"396",60,2010,19103,1745507
"397",61,2010,19629,1679077
"398",62,2010,21423,1712692
"399",63,2010,22714,1672329
"400",64,2010,19651,1267895
"401",65,2010,20163,1273310
"402",66,2010,21498,1248276
"403",67,2010,23112,1248906
"404",68,2010,22423,1087296
"405",69,2010,22323,994759
"406",70,2010,22614,945611
"407",71,2010,23150,900148
"408",72,2010,24267,853726
"409",73,2010,24447,787863
"410",74,2010,25707,756624
"411",75,2010,26827,721008
"412",76,2010,26978,647804
"413",77,2010,28317,631884
"414",78,2010,29782,602458
"415",79,2010,31102,579234
"416",80,2010,32596,543559
"417",81,2010,33131,494870
"418",82,2010,34408,462983
"419",83,2010,34214,419831
"420",84,2010,34475,373131
"421",50,2011,11747,2251877
"422",51,2011,12603,2278457
"423",52,2011,13678,2196781
"424",53,2011,14602,2183182
"425",54,2011,15565,2156249
"426",55,2011,16365,2076344
"427",56,2011,17542,2058561
"428",57,2011,17791,1967413
"429",58,2011,18349,1892452
"430",59,2011,19082,1821281
"431",60,2011,19768,1761228
"432",61,2011,20051,1722457
"433",62,2011,20897,1671482
"434",63,2011,22472,1657509
"435",64,2011,24324,1729478
"436",65,2011,20066,1272356
"437",66,2011,20755,1251872
"438",67,2011,22425,1218210
"439",68,2011,24757,1246213
"440",69,2011,23370,1083279
"441",70,2011,23568,985133
"442",71,2011,23663,931609
"443",72,2011,24589,879841
"444",73,2011,25556,837914
"445",74,2011,25527,769886
"446",75,2011,26695,732882
"447",76,2011,28124,698292
"448",77,2011,27726,626503
"449",78,2011,29262,602268
"450",79,2011,30564,572793
"451",80,2011,32434,542585
"452",81,2011,33738,516296
"453",82,2011,34067,463352
"454",83,2011,35081,429120
"455",84,2011,35002,388942
"456",50,2012,11516,2216795
"457",51,2012,12718,2241462
"458",52,2012,13670,2267371
"459",53,2012,14419,2184843
"460",54,2012,15504,2169774
"461",55,2012,16982,2141280
"462",56,2012,17497,2060591
"463",57,2012,18287,2041891
"464",58,2012,19214,1950176
"465",59,2012,19763,1874471
"466",60,2012,20375,1802492
"467",61,2012,20848,1742427
"468",62,2012,21706,1703249
"469",63,2012,22438,1650927
"470",64,2012,23841,1635390
"471",65,2012,25435,1704827
"472",66,2012,21560,1252872
"473",67,2012,22227,1231618
"474",68,2012,23802,1196231
"475",69,2012,25891,1221308
"476",70,2012,24721,1059582
"477",71,2012,24478,961546
"478",72,2012,24875,907557
"479",73,2012,25535,855045
"480",74,2012,26411,812276
"481",75,2012,26619,744120
"482",76,2012,27670,705802
"483",77,2012,29068,670017
"484",78,2012,28667,598648
"485",79,2012,30400,572865
"486",80,2012,31593,541837
"487",81,2012,33010,509952
"488",82,2012,34147,482074
"489",83,2012,34486,429149
"490",84,2012,35021,393686
"491",50,2013,11307,2211106
"492",51,2013,12453,2205825
"493",52,2013,13472,2229385
"494",53,2013,14622,2253981
"495",54,2013,15612,2170669
"496",55,2013,16879,2154967
"497",56,2013,18074,2125826
"498",57,2013,18656,2044395
"499",58,2013,19912,2024760
"500",59,2013,20475,1932434
"501",60,2013,21148,1856051
"502",61,2013,21784,1783516
"503",62,2013,22432,1722456
"504",63,2013,23058,1681878
"505",64,2013,23907,1630472
"506",65,2013,25036,1616005
"507",66,2013,27466,1683234
"508",67,2013,22837,1231339
"509",68,2013,23613,1208652
"510",69,2013,25372,1173960
"511",70,2013,27596,1198287
"512",71,2013,26559,1036368
"513",72,2013,25971,937562
"514",73,2013,26303,882726
"515",74,2013,27145,829509
"516",75,2013,27945,785563
"517",76,2013,28156,717131
"518",77,2013,29587,677689
"519",78,2013,30527,640522
"520",79,2013,29951,569442
"521",80,2013,31636,542197
"522",81,2013,33025,509698
"523",82,2013,34661,476629
"524",83,2013,34784,447106
"525",84,2013,35068,394540
"526",50,2014,11064,2211607
"527",51,2014,12268,2205405
"528",52,2014,13248,2198124
"529",53,2014,14762,2219617
"530",54,2014,15754,2242828
"531",55,2014,17023,2158258
"532",56,2014,18230,2140722
"533",57,2014,19492,2110149
"534",58,2014,20199,2027959
"535",59,2014,21048,2006900
"536",60,2014,21923,1914009
"537",61,2014,22921,1837080
"538",62,2014,23310,1763504
"539",63,2014,23948,1701827
"540",64,2014,24104,1661474
"541",65,2014,25236,1607688
"542",66,2014,26739,1589127
"543",67,2014,28743,1653257
"544",68,2014,24301,1211480
"545",69,2014,24783,1187554
"546",70,2014,26678,1149247
"547",71,2014,29102,1169356
"548",72,2014,27953,1010896
"549",73,2014,27479,913008
"550",74,2014,27634,857432
"551",75,2014,28656,803434
"552",76,2014,29307,758378
"553",77,2014,29653,689822
"554",78,2014,30434,649209
"555",79,2014,31209,610723
"556",80,2014,31140,540032
"557",81,2014,32497,511090
"558",82,2014,33631,476976
"559",83,2014,34540,442449
"560",84,2014,35363,411265
